date,title,sentiment__polarity,sentiment__neg,sentiment__neu,sentiment__pos
2022-07-07T06:00:00+00:00,Rock Tech wins thyssenkrupp Materials Trading as potential supplier of raw materials and customer for its lithium hydroxide,0.995,0.03,0.899,0.071
2022-07-01T14:38:16+00:00,Electric Vehicle Supply Chains Could Soon Face a New Notable Challenge,0,0,1,0
2022-06-29T13:11:53+00:00,LG Energy signs battery-grade lithium supply deal with Compass Minerals,0.727,0.018,0.928,0.054
2022-06-29T12:00:00+00:00,"Frontier Lithium files Year-End March 31, 2022 Financial Results",0.994,0.003,0.924,0.074
2022-06-27T06:00:00+00:00,Rock Tech Lithium and Transamine to cooperate on lithium supply,0.998,0.043,0.855,0.102
2022-06-24T12:12:06+00:00,Stellantis Makes €50M Equity Investment In Lithium Company Vulcan Energy Resources,0.981,0.01,0.832,0.158
2022-06-24T06:00:00+00:00,Stellantis Expands Relationship with Vulcan Energy Becoming Shareholder in Decarbonized Lithium Company,0.999,0.03,0.852,0.118
2022-06-23T23:00:00+00:00,Will Soaring Lithium Prices Spark Demand Destruction?,0.989,0.065,0.826,0.109
2022-06-23T21:00:14+00:00,Stellantis invests €50mn in lithium start-up to secure car battery metals,0.848,0.02,0.846,0.134
2022-06-23T11:55:00+00:00,Imperial and E3 Lithium form strategic agreement on lithium pilot project in Alberta,0.995,0.027,0.888,0.084
2022-06-21T18:16:51+00:00,IBD Stock Of The Day: Lithium Play SQM Springs Bullishly Off Key Level,0.34,0,0.902,0.098
2022-06-21T13:27:00+00:00,American Battery Technology Company Announces Results of its Lithium-Bearing Tonopah Flats Exploration Drilling Phase 1 Program,0.995,0.024,0.909,0.067
2022-06-17T12:45:17+00:00,7 Lithium Stocks to Sell if You Believe the Boom Is Over,0.997,0.053,0.854,0.093
2022-06-13T12:00:00+00:00,Metals Recycling Innovator Aqua Metals Plates High Purity Cobalt,0.908,0.046,0.889,0.065
2022-06-09T14:49:02+00:00,"The Zacks Analyst Blog Highlights Stellantis, Mazda Motor, NIO, Li, and XPeng",0.998,0.017,0.887,0.096
2022-06-08T16:00:00+00:00,A Lithium Rush Is On at California's Salton Sea: Who Are the Players?,0,0,1,0
2022-06-08T12:56:12+00:00,"EV Roundup: STLA's Pact With CTR, MZDAY's Carbon Neutrality Pledge &amp; More",0.997,0.014,0.89,0.096
2022-06-06T11:19:11+00:00,Stellantis (STLA) Inks Deal With CTR for Lithium Hydroxide Supply,0.996,0.009,0.886,0.106
2022-06-02T13:07:28+00:00,Stellantis secures lithium supply from California for EV batteries,0.926,0.026,0.896,0.079
2022-06-02T12:01:00+00:00,Stellantis Secures Low Emissions Lithium Supply for North American Electric Vehicle Production from Controlled Thermal Resources,0.999,0.036,0.831,0.134
2022-06-01T17:57:00+00:00,Lithium Stock Investing Series: How Is Lithium Mined?,0,0,1,0
2022-05-25T12:00:00+00:00,Leading Global Mining Executive Peter Oliver to Join the NioCorp Board,0.446,0.058,0.867,0.074
2022-05-24T14:04:01+00:00,Hunt for Lithium Sparks Frantic Rush Into Argentine Mountains,0.984,0.045,0.875,0.079
2022-05-17T12:30:00+00:00,Critical Elements Successfully Produces Battery Grade Lithium Hydroxide in Pilot Plant Testing,0.99,0.033,0.897,0.069
2022-05-13T03:24:35+00:00,Albemarle Tops Our List of Lithium Stocks - Who Else is Worth Checking Out?,0.999,0.024,0.878,0.098
2022-05-12T11:00:00+00:00,OTC Markets Group Welcomes European Metals Holdings Ltd. to OTCQX,0.993,0.021,0.881,0.099
2022-05-11T06:00:00+00:00,Rock Tech Lithium joins the European Battery Alliance,0.995,0.036,0.879,0.086
2022-05-05T17:00:32+00:00,Albemarle (ALB) Q1 2022 Earnings Call Transcript,0.893,0,0.813,0.187
2022-05-05T10:41:21+00:00,Albermarle Stock Soars After Bullish Update on Lithium Outlook,0.875,0.025,0.917,0.058
2022-05-05T01:37:00+00:00,Rock Tech Lithium Announces Grant of Stock Options,0.989,0.039,0.886,0.075
2022-05-04T23:00:00+00:00,3 Impressive Lithium Stocks Flying Under Wall Street’s Radar,0.995,0.05,0.847,0.103
2022-05-04T14:31:40+00:00,Livent Soars as Lithium Demand Boosts Revenue,0.955,0.049,0.827,0.124
2022-05-04T13:59:05+00:00,Livent Stock Is Soaring on Earnings Beat and Electrifyingly Large Guidance Raise,0.537,0,0.744,0.256
2022-05-04T07:12:00+00:00,"Foremost Lithium Announces C$1,145,000 Shareholder Loan",0.987,0.023,0.876,0.101
2022-05-03T20:05:00+00:00,LIVENT RELEASES FIRST QUARTER 2022 RESULTS,1,0.043,0.851,0.106
2022-05-02T20:10:00+00:00,Livent Announces Agreement to Double its Ownership Stake in Nemaska Lithium to 50 Percent,0.998,0.042,0.848,0.11
2022-05-02T10:00:00+00:00,Standard Lithium Advances Project Pipeline as It Commences Preliminary Feasibility Study at Its South West Arkansas Lithium Project,0.999,0.008,0.885,0.107
2022-05-02T05:01:00+00:00,Standard Lithium Advances Project Pipeline as It Commences Preliminary Feasibility Study at Its South West Arkansas Lithium Project,0.999,0.008,0.885,0.107
2022-04-28T20:01:00+00:00,Aqua Metals Announces Q1 2022 Results,0.998,0.04,0.867,0.093
2022-04-28T16:11:23+00:00,10 Best Lithium Stocks To Buy Now,1,0.014,0.881,0.105
2022-04-28T12:00:00+00:00,Aqua Metals Produces High Purity Nickel in Metal Form at its Innovation Center,0.999,0.031,0.858,0.111
2022-04-28T10:50:00+00:00,Piedmont Lithium Partner Sayona Announces a New Lithium Pegmatite Discovery at Moblan in Quebec,0.997,0.034,0.871,0.095
2022-04-26T13:09:00+00:00,Rock Tech Lithium appoints Cristina Rocco as COO,0.993,0.037,0.885,0.078
2022-04-21T07:05:00+00:00,E3 Metals Initiates Design of Field Pilot,0.995,0.012,0.908,0.08
2022-04-19T07:15:00+00:00,"Foremost Lithium Identifies Multiple New High Priority Pegmatite Targets on Its 100% Owned Jean Lake Lithium Project in Snow Lake, Manitoba",0.993,0.021,0.909,0.069
2022-03-31T15:10:00+00:00,Here's How to Ride the Wave With Lithium Manufacturer Livent,0.318,0.062,0.813,0.124
2022-03-30T12:00:00+00:00,Frontier Lithium Completes Advanced Phase Lithium Concentrate Pilot,0.996,0.004,0.925,0.07
2022-03-24T16:58:00+00:00,Piedmont Announces Closing of Public Offering of Common Stock,0.997,0.031,0.881,0.088
2022-03-24T01:04:00+00:00,POSCO Holdings Inc. Invests U$839 million in Lithium business in Argentina,0.996,0.012,0.902,0.087
2022-03-22T20:56:00+00:00,Piedmont Announces Pricing of Upsized Public Offering of Common Stock,0.997,0.031,0.881,0.087
